ID%artist%artistmatch
1%4 Non Blondes%(4|four) non( |-)blonde?s
2%A-ha%a-?ha
3%AC/DC%ac[/ -]?dc
4%Adele%adele
5%Al Green and Annie Lennox%al green (and|&) annie lennox
6%Alanis Morissette%alanis morissette
7%Alannah Myles%alann?ah m[yi]les
8%Amy Winehouse%amy winehouse
9%Aretha Franklin%aretha franklin
10%Avril Lavigne%avril lavig?ne
11%Band Aid%band aid
12%Barenaked Ladies%(the )?bare ?naked ladies
13%Bastille%bastill?e
14%Bebe Rexha ft. Florida Georgia Line%bebe rexha( (ft.|feat.|featuring) florida georgia line)?
15%Beyoncé%beyonce
16%Billie Eilish%billie eilish
17%Billy Joel%billy joel
18%Billy Ocean%billy ocean
19%Billy Ray Cyrus%billy ray cyrus
20%Billy Squier%billy (squier|squire)
21%Black Sabbath%black sabb?ath
22%BLACKPINK%black ?pink
23%Blind Melon%blind melon
24%Bob Dylan%bob dylan
25%Bob Marley & the Wailers%bob marley( (&|and) the wailers)?
26%Bobby Darin%bobb(y|ie) darr?(i|e)n
27%Bonnie Raitt%bonnie raitt?
28%Bonnie Tyler%bonnie tyler
29%Boston%boston
30%Boy Meets Girl%boy meets girl
31%Boyz II Men%boy[sz] (II|2) men
32%Bruce Hornsby and the Range%bruce hornsby( (and|&) the range)?
33%Bruce Springsteen%bruce springsteen
34%Cage the Elephant%cage the elephant
35%Camila Cabello%camill?a cabello
36%Carl Carlton%carl carlton
37%Celine Dion%celine dion
38%Chamillionaire ft. Krayzie Bone%chamillionaire( (ft.|featuring) Krayzie Bone)?
39%Chris Isaak%ch?ris isaa?(k|c)
40%Chubby Checker%chubb(y|ie) checker
41%Chuck Berry%chuck berry
42%Chumbawamba%chumbaw(a|u)mba
43%Coolio ft. L.V.%coolio( (ft.|featuring) L.?V.?)?
44%Creedence Clearwater Revival%(the )?creedence clearwater revival
45%Creepy John Thomas%(creepy )?john thomas
46%Crowded House%crowded house
47%Cyndi Lauper%cyndi lauper
48%Dan Fogelberg%dan fogelb(e|u)rg
49%Dashboard Confessional%dashboard confessional
50%Dean Martin%dean martin
51%Dean Martin and Burt Bacharach%dean martin (and|\&) burt bacharach
52%Debbie Gibson%debb(ie|y) gibs(o|e)n
53%Dee-Lite%dee?-?lite
54%Demi Lovato%demi lovato
55%Diana Ross%diann?a ross
56%Dionne Warwick%dionne warwick
57%Don McLean%don ma?clean
58%Drake%drake
59%Dua Lipa%dua lipa
60%Dusty Springfield%dusty springfield
61%Earth, Wind & Fire%earth,? Wind,? (&|and) fire
62%Ed Sheeran and Elton John%ed sheeran and elton john
63%Eddie Rabbitt%eddie rabbitt?
64%Electric Light Orchestra%(the )?electric light orchestra
65%Elmo & Patsy%elmo (and|&) patsy
66%Elton John%elton john
67%Eminem%eminem
68%Encanto%encanto
69%Enya%enya
70%Fleet Foxes%fleet foxes
71%Fleetwood Mac%fleetwood mac
72%Frankie Vallie%frankie vall(ie|ey)
73%Gary Wright%gary w?right
74%Gayla Peevey%gayla peevey
75%Gene Kelly%gene kelly
76%George Ezra%george ezra
77%Gin Blossoms%gin blossoms
78%Gloria Estefan and Miami Sound Machine%gloria estefan( (&|and)( the)? miami sound machine)?
79%Gloria Gaynor%gloria gaynor
80%Grand Funk Railroad%grand funk railroad
81%Green Day%green day
82%Guns N’ Roses%guns (&|n’?|and) roses
83%Gwen Stefani%gwen stefani
84%Gwen Stefani ft. Blake Shelton%gwen stefani( (ft\.|featuring|and) blake shelton)?
85%Gym Class Heroes ft. Adam Levine%gym class heroes( (ft\.|featuring|and) adam levine)?
86%Hall & Oates%hall (&|n’?|and) oate?s
87%Harry Styles%harry styles
88%Heart%heart
89%Huey Lewis and The News%huey lewis (&|n’?|and) the news
90%Idina Menzel from Wicked%idina menzel( from wicked)?
91%Iggy Azalea ft. Charli XCX%iggy azalea( (ft.|featuring) charlie? xcx)?
92%Imagine Dragons%imagine dragons
93%James Taylor%james taylor
94%Jan & Dean%jan (and|&) dean
95%Janet Jackson%janet jackson
96%Jay-Z ft. Alicia Keys%jay-z( (ft.|featuring) alicia keys)?
97%Jefferson Airplane%jefferson airplane
98%Jimmy Buffett%jimmy buffett
99%Joan Jett & the Blackhearts%joan jett?( (&|and) the blackhearts)?
100%John Lennon%john lennon
101%John Lennon and Yoko Ono%john lennon and yoko ono
102%Johnny Cash%johnny cash
103%Johnny Horton%johnny horton
104%Johnny Nash%johnny nash
105%Jon Batiste%jo(h)?n bap?tiste
106%Journey%journey
107%Justin Bieber%justin bieber
108%Kacey Musgraves%kacey musgraves
109%Katy Perry%kat(y|ie) perr?y
110%Kelly Clarkson%kelly clarkson
111%Kesha%kesha
112%Lady Gaga%lady gaga
113%Lady Gaga and Beyoncé%lady gaga and beyonc[eé]
114%Led Zeppelin%led zeppelin
115%Leona Lewis%leona lewis
116%Linda Rondstadt%linda rondstadt
117%Lorde%lorde?
118%Los Bravos%los bravos
119%Louis Armstrong%(louis|louie) armstrong
