ID%artist%artistmatch
1%Rick Astley%ric?k astle?y
2%Queen%queen
3%Taylor Swift%taylor swift
4%Weird Al%weird al
5%Boston%boston
6%Blind Melon%blind melon
7%the Eurythmics%(the )?eurythmics
8%Fleetwood Mac%fleetwood mac
9%AC/DC%ac[/ -]?dc
10%Adele%adele
11%Alanis Morissette%alanis morissette
12%Aretha Franklin%aretha franklin
13%Avril Lavigne%avril lavig?ne
14%Barenaked Ladies%(the )?bare ?naked ladies
15%Bastille%bastill?e
16%Bebe Rexha ft. Florida Georgia Line%bebe rexha( (ft.|featuring) florida georgia line)?
17%Billie Eilish%billie eilish
18%Billy Ray Cyrus%billy ray cyrus
19%Billy Squier%billy (squier|squire)
20%Bob Dylan%bob dylan
21%Bonnie Raitt%bonnie raitt?
22%Boy Meets Girl%boy meets girl
23%Boyz II Men%boy[sz] (II|2) men
24%Bruce Hornsby and the Range%bruce hornsby( (and|&) the range)?
25%Camila Cabello%camill?a cabello
26%Carl Carlton%carl carlton
27%Celine Dion%celine dion
28%Chamillionaire ft. Krayzie Bone%chamillionaire( (ft.|featuring) Krayzie Bone)?
29%Coolio ft. L.V.%coolio( (ft.|featuring) L.?V.?)?
30%Creedence Clearwater Revival%(the )?creedence clearwater revival
31%Creepy John Thomas%(creepy )?john thomas
32%Cyndi Lauper%cyndi lauper
33%Dashboard Confessional%dashboard confessional
34%Dean Martin and Burt Bacharach%dean martin (and|&) burt bacharach
35%Dionne Warwick%dionne warwick
36%Don McLean%don ma?clean
37%Dua Lipa%dua lipa
38%Earth, Wind & Fire%earth,? Wind,? (&|and) fire
39%Eddie Rabbitt%eddie rabbitt?
40%Electric Light Orchestra%(the )?electric light orchestra
41%Elton John%elton john
42%Encanto%encanto
43%Enya%enya
44%Gene Kelly%gene kelly
45%George Ezra%george ezra
46%Gloria Gaynor%gloria gaynor
47%Green Day%green day
48%Guns N’ Roses%guns (&|n’?|and) roses
49%Gwen Stefani%gwen stefani
50%Idina Menzel from Wicked%idina menzel( from wicked)?
51%Iggy Azalea ft. Charli XCX%iggy azalea( (ft.|featuring) charlie? xcx)?
52%Imagine Dragons%imagine dragons
53%James Taylor%james taylor
54%Janet Jackson%janet jackson
55%Jay-Z ft. Alicia Keys%jay-z( (ft.|featuring) alicia keys)
56%Jimmy Buffett%jimmy buffett
57%Joan Jett & the Blackhearts%joan jett( (&|and) the blackhearts)?
58%Johnny Horton%johnny horton
59%Johnny Nash%johnny nash
60%Kacey Musgraves%kacey musgraves
61%Kelly Clarkson%kelly clarkson
62%Lady Gaga%lady gaga
63%Led Zeppelin%led zeppelin
64%Linda Rondstadt%linda rondstadt
65%Lorde%lorde
66%Lynyrd Skynyrd%lynyrd skynyrd
67%Madonna%madonna
68%Marc Cohn%marc cohn
69%Mariah Carey%mariah carey
70%Maroon 5%maroon (5|five)
71%Mary Chapin Carpenter%mary chapin carpenter
72%MC Hammer%mc hammer
73%Men at Work%men at work
74%Michael Jackson%michael jackson
75%Miley Cyrus%miley cyrus
76%Milli Vanilli%milli vanilli
77%New Kids on the Block%(the )?new kids on the block
78%Nirvana%nirvana
79%Paula Abdul%paula abdul
80%Pharrell Williams%pharrell williams
81%Pink%pink
82%Portishead%portishead
83%Ray Charles%ray charles
84%Richard Harris%richard harris
85%Salt-n-Pepa%Salt-n-pepa
86%Sheryl Crow%[sc]heryl crow
87%Simon & Garfunkel%simon (&|and) garfunkel
88%Stan Goetz, João Gilberto, Astrud Gilberto%stan go?etz, jo[ãa]o gilberto, astrud gilberto
89%Suzanne Vega%Suzanne Vega
90%The Animals%(the )?animals
91%The Backstreet Boys%(the )?backstreet boy[sz]
92%The Beatles%(the )?beatles
93%The Cars%(the )?cars
94%The Chi-Lites%(the )?chi-lites
95%The Go-Go’s%(the )?go-?go[’']?s
96%The Killers%(the )?killers
97%The Knack%(the )?knack
98%The Lovin’ Spoonful%(the )?lovin[’'g]? spoonful
99%The Police%(the )?police
100%The Red Hot Chili Peppers%(the )?red hot chill?i peppers
101%The Smiths%(the )?smiths
102%They Might Be Giants%they might be giants
103%Tina Turner%tina turner
104%Tom Petty%tom petty
105%TOTO%toto
106%U2%u2
107%Whitney Houston%whitney houston
108%Sade%sade( abo?u)?
109%The Commodores%(the )?comm?odore?s
110%The Cure%(the )?cure
111%Bobby Darin%bobb(y|ie) darr?(i|e)n
112%Nancy Sinatra%nance?y sinatra
113%OMI%omi
114%Stevie Wonder%stevie wonder
115%Van Morrison%van morr?ison
116%Midnight Oil%midnight oil
117%Diana Ross%diana ross
118%Chumbawamba%chumbaw(a|u)mba
119%Bob Marley & the Wailers%bob marley( (\&|and) the wailers)?
120%Us3%us( )?(3|three)
121%The Music Man%(the )?music man
122%Mighty Mighty Bosstones%mighty mighty bosstones
123%Jon Batiste%jo(h)?n bap?tiste
124%Louis Armstrong%(louis|louie) armstrong
125%Natalie Cole%natalie cole
126%Frankie Vallie%frankie vall(ie|ey)
127%Gloria Estefan and Miami Sound Machine%gloria estefan( (\&|and)( the)? miami sound machine)?
128%Dan Fogelberg%dan fogelb(e|u)rg
129%Phil Collins%phil coll?ins
